,SaleID,price,price
0,,,1240.4648
1,,,1935.1803
2,,,8135.692
3,,,1050.2875
4,,,2003.6299
5,,,1213.4476
6,,,442.50534
7,,,3107.3882
8,,,11084.969
9,,,606.96313
10,,,622.419
11,,,2558.7305
12,,,5550.1445
13,,,7037.9736
14,,,1461.4243
15,,,267.04517
16,,,1650.5627
17,,,8582.591
18,,,6577.444
19,,,663.4575
20,,,24857.629
21,,,7890.0312
22,,,1809.288
23,,,1481.7389
24,,,816.57544
25,,,7523.578
26,,,446.562
27,,,12554.617
28,,,3990.6682
29,,,7922.752
30,,,18718.576
31,,,13825.493
32,,,600.2539
33,,,14307.612
34,,,605.3916
35,,,2019.9778
36,,,14630.205
37,,,5921.4434
38,,,1610.0712
39,,,346.7669
40,,,579.8765
41,,,27491.203
42,,,467.59384
43,,,7034.705
44,,,20116.39
45,,,513.1385
46,,,15596.489
47,,,16533.832
48,,,2132.9766
49,,,2965.8694
50,,,447.2012
51,,,4475.9497
52,,,2889.3225
53,,,518.0441
54,,,13151.767
55,,,11437.509
56,,,5622.955
57,,,3338.2756
58,,,1173.0677
59,,,5086.642
60,,,8000.84
61,,,1163.6367
62,,,5725.625
63,,,8223.749
64,,,1304.7183
65,,,1520.3545
66,,,494.8212
67,,,9836.589
68,,,200.05373
69,,,17761.324
70,,,9060.981
71,,,279.29504
72,,,6499.2715
73,,,18475.555
74,,,4289.6724
75,,,13323.634
76,,,3108.4585
77,,,412.61703
78,,,344.70914
79,,,2910.167
80,,,3144.7998
81,,,2126.0176
82,,,4086.8013
83,,,396.3483
84,,,1161.2583
85,,,1065.7675
86,,,6933.664
87,,,3425.8433
88,,,2619.8
89,,,41495.395
90,,,2596.7527
91,,,196.44875
92,,,1546.5289
93,,,15612.042
94,,,6521.1226
95,,,5848.0864
96,,,2543.1802
97,,,1194.3839
98,,,431.65063
99,,,24722.3
100,,,21386.95
101,,,7361.591
102,,,1774.6616
103,,,10973.561
104,,,5501.1704
105,,,4296.0767
106,,,8262.344
107,,,2199.4766
108,,,14584.356
109,,,7685.412
110,,,685.9853
111,,,1822.9296
112,,,1851.7706
113,,,590.3128
114,,,2077.8394
115,,,1202.8945
116,,,14128.59
117,,,16953.084
118,,,64425.44
119,,,210.31837
120,,,2957.5457
121,,,2453.0798
122,,,663.6724
123,,,2455.9392
124,,,55647.227
125,,,580.36505
126,,,3039.045
127,,,15339.333
128,,,1632.4154
129,,,5874.2676
130,,,3955.5918
131,,,2856.825
132,,,1403.2761
133,,,2952.508
134,,,1392.7878
135,,,2547.7893
136,,,4008.4204
137,,,598.81696
138,,,9640.398
139,,,6670.215
140,,,2853.5576
141,,,1480.4971
142,,,6112.9917
143,,,6097.827
144,,,1298.6761
145,,,6575.198
146,,,2609.6895
147,,,4239.2114
148,,,3055.6387
149,,,193.64517
150,,,10967.408
151,,,5001.3784
152,,,595.95764
153,,,518.285
154,,,7393.975
155,,,2632.1536
156,,,16447.705
157,,,7998.1465
158,,,10018.007
159,,,1611.5483
160,,,7108.0195
161,,,7300.6104
162,,,6719.0503
163,,,1479.1139
164,,,16645.377
165,,,14200.053
166,,,23503.902
167,,,3917.9558
168,,,39382.543
169,,,731.0397
170,,,2581.0476
171,,,8739.509
172,,,1899.6453
173,,,35391.51
174,,,516.78436
175,,,2400.3213
176,,,8264.559
177,,,5965.6055
178,,,4943.1646
179,,,3448.6516
180,,,913.44904
181,,,18862.139
182,,,4207.57
183,,,1536.9128
184,,,2377.924
185,,,3894.7446
186,,,3661.2725
187,,,4996.634
188,,,11045.583
189,,,10563.917
190,,,3260.3179
191,,,2931.5393
192,,,1025.7385
193,,,4590.723
194,,,8121.7905
195,,,2277.9893
196,,,604.0356
197,,,22732.984
198,,,1117.8405
199,,,4541.402
200,,,498.49533
201,,,8374.106
202,,,2124.21
203,,,1665.7932
204,,,8158.9033
205,,,5219.8486
206,,,758.0308
207,,,4864.034
208,,,5851.3677
209,,,1596.2246
210,,,13474.273
211,,,5542.3994
212,,,7058.195
213,,,8459.644
214,,,19380.312
215,,,7536.3765
216,,,3218.857
217,,,1243.0669
218,,,10119.098
219,,,1240.5726
220,,,2761.4795
221,,,7696.151
222,,,2185.0493
223,,,625.9908
224,,,12314.212
225,,,3294.2957
226,,,1208.5981
227,,,8720.698
228,,,209.99467
229,,,7223.4834
230,,,8914.433
231,,,4977.7905
232,,,896.4387
233,,,7583.52
234,,,395.93054
235,,,8673.4
236,,,10506.673
237,,,4623.37
238,,,7381.0522
239,,,8414.298
240,,,25289.03
241,,,10690.481
242,,,3950.9119
243,,,2787.545
244,,,6568.0903
245,,,3998.6743
246,,,3787.7805
247,,,1149.3291
248,,,265.17035
249,,,10255.376
250,,,28992.723
251,,,10448.363
252,,,693.0026
253,,,8802.61
254,,,11202.754
255,,,7320.5386
256,,,3162.686
257,,,9030.448
258,,,3334.8953
259,,,7905.519
260,,,1418.6266
261,,,3888.1926
262,,,2429.6482
263,,,9163.824
264,,,7187.6562
265,,,6120.9443
266,,,937.22284
267,,,15203.821
268,,,7351.382
269,,,3750.2776
270,,,9872.936
271,,,2839.701
272,,,2360.7158
273,,,17656.643
274,,,504.3266
275,,,13507.135
276,,,2235.4072
277,,,3441.6875
278,,,1693.6083
279,,,7800.211
280,,,2923.3452
281,,,758.4265
282,,,12425.145
283,,,6416.7866
284,,,382.7377
285,,,5257.235
286,,,3237.7786
287,,,12468.498
288,,,12375.507
289,,,2839.8389
290,,,7125.2134
291,,,9134.991
292,,,1934.0598
293,,,9512.392
294,,,6009.5415
295,,,1501.5236
296,,,2901.8735
297,,,7839.846
298,,,1359.7039
299,,,5333.0356
300,,,5116.086
301,,,5586.996
302,,,1554.3522
303,,,5902.952
304,,,2324.2195
305,,,4307.1846
306,,,1517.7705
307,,,15060.354
308,,,1517.1478
309,,,950.8618
310,,,1068.347
311,,,1323.8601
312,,,10576.378
313,,,1704.9613
314,,,3853.568
315,,,743.8686
316,,,37215.254
317,,,2215.2278
318,,,406.2604
319,,,10112.209
320,,,3117.1802
321,,,28876.877
322,,,16202.363
323,,,1439.191
324,,,25386.098
325,,,5820.107
326,,,2198.8262
327,,,25972.055
328,,,603.7065
329,,,7743.518
330,,,1886.4142
331,,,1489.1727
332,,,11686.842
333,,,1243.1334
334,,,585.77637
335,,,1397.2745
336,,,1452.0156
337,,,830.05725
338,,,2027.9525
339,,,13732.229
340,,,30236.416
341,,,2088.1333
342,,,6008.2
343,,,1447.4941
344,,,5670.936
345,,,6341.932
346,,,1128.0118
347,,,11523.506
348,,,10021.323
349,,,732.615
350,,,11713.154
351,,,2290.643
352,,,724.8457
353,,,1856.156
354,,,3160.3486
355,,,547.7754
356,,,4455.571
357,,,2202.6614
358,,,2884.2537
359,,,8526.294
360,,,16121.27
361,,,1777.0026
362,,,2038.8367
363,,,1129.248
364,,,7846.6387
365,,,8775.818
366,,,994.28534
367,,,5767.238
368,,,6019.575
369,,,5369.3833
370,,,965.57166
371,,,10416.493
372,,,863.0025
373,,,1158.7865
374,,,873.55237
375,,,1189.8286
376,,,2516.8894
377,,,1854.8883
378,,,1303.7411
379,,,1818.273
380,,,851.69275
381,,,3813.4963
382,,,30914.416
383,,,2021.8086
384,,,2637.3643
385,,,753.08704
386,,,1095.972
387,,,4279.9688
388,,,7004.7695
389,,,7793.7705
390,,,361.71646
391,,,3257.293
392,,,1043.3162
393,,,2928.4128
394,,,4134.4624
395,,,102.96372
396,,,2669.04
397,,,931.2266
398,,,2244.944
399,,,704.08484
400,,,2079.565
401,,,4576.7446
402,,,1253.7819
403,,,3663.519
404,,,647.54193
405,,,692.63605
406,,,2153.5637
407,,,1421.9067
408,,,6860.564
409,,,10653.33
410,,,6976.292
411,,,1532.8248
412,,,21655.809
413,,,11349.987
414,,,4685.5176
415,,,8930.747
416,,,8112.113
417,,,1939.2256
418,,,1114.21
419,,,17523.893
420,,,19735.564
421,,,1106.7034
422,,,1538.2577
423,,,964.92664
424,,,50332.184
425,,,8768.982
426,,,3986.3005
427,,,19117.574
428,,,1194.6393
429,,,4536.1504
430,,,4233.5254
431,,,2802.6511
432,,,3831.2537
433,,,16287.452
434,,,669.60236
435,,,5295.454
436,,,10118.345
437,,,863.6405
438,,,200.5594
439,,,1236.8436
440,,,1302.3744
441,,,1289.8909
442,,,1344.0269
443,,,5542.4893
444,,,1226.3109
445,,,3003.4182
446,,,3368.027
447,,,7284.5146
448,,,13203.32
449,,,1185.3489
450,,,2640.126
451,,,1164.9036
452,,,3024.6467
453,,,3190.1304
454,,,797.74066
455,,,8783.07
456,,,1179.5488
457,,,1297.7778
458,,,767.2546
459,,,4018.8804
460,,,2968.638
461,,,3383.7332
462,,,5281.184
463,,,8308.399
464,,,1019.44666
465,,,10086.702
466,,,2338.358
467,,,2740.2744
468,,,2141.6902
469,,,207.98227
470,,,9735.106
471,,,420.6303
472,,,9394.834
473,,,48900.184
474,,,1617.4598
475,,,3937.191
476,,,12047.864
477,,,5085.9
478,,,4964.594
479,,,1174.4608
480,,,6610.8667
481,,,1621.686
482,,,1483.6625
483,,,2831.4785
484,,,2294.4663
485,,,4918.594
486,,,5299.8857
487,,,8648.989
488,,,1251.7432
489,,,5294.1665
490,,,8510.166
491,,,8679.963
492,,,18942.398
493,,,101.72865
494,,,2365.3647
495,,,5647.6323
496,,,352.46536
497,,,581.8178
498,,,18041.246
499,,,733.888
500,,,5873.2983
501,,,4129.4766
502,,,1750.1184
503,,,264.46762
504,,,2443.094
505,,,5792.9185
506,,,135.53731
507,,,3395.5293
508,,,1765.8903
509,,,1270.7352
510,,,9323.653
511,,,10020.071
512,,,24121.203
513,,,15065.123
514,,,12350.969
515,,,655.5232
516,,,21069.281
517,,,7305.9043
518,,,2411.783
519,,,13306.478
520,,,1190.6306
521,,,24578.4
522,,,142.96533
523,,,4355.387
524,,,8626.21
525,,,486.83054
526,,,380.43817
527,,,3219.0625
528,,,3669.6714
529,,,626.3918
530,,,6858.3784
531,,,14206.515
532,,,998.0888
533,,,18877.076
534,,,1224.3151
535,,,167.4642
536,,,1028.9542
537,,,926.2511
538,,,2875.41
539,,,6804.6606
540,,,2667.043
541,,,2717.461
542,,,2245.3264
543,,,3924.891
544,,,483.37686
545,,,3768.7686
546,,,6435.604
547,,,4385.236
548,,,4590.6094
549,,,12993.599
550,,,13692.614
551,,,413.87726
552,,,11418.729
553,,,266.8424
554,,,12838.1045
555,,,1983.4171
556,,,4038.0059
557,,,12258.995
558,,,6790.313
559,,,1288.2982
560,,,2916.256
561,,,4159.3203
562,,,19090.244
563,,,5958.111
564,,,9667.865
565,,,25702.139
566,,,7416.407
567,,,1878.6113
568,,,8750.151
569,,,139.51181
570,,,1888.1123
571,,,3626.056
572,,,10736.3
573,,,16535.44
574,,,1006.3536
575,,,1402.2988
576,,,891.20966
577,,,801.5049
578,,,22427.406
579,,,178.69849
580,,,5563.719
581,,,1460.1293
582,,,6314.589
583,,,1035.0068
584,,,17880.895
585,,,6874.9487
586,,,4222.221
587,,,1432.6189
588,,,3922.5854
589,,,2528.4805
590,,,272.51324
591,,,10497.788
592,,,4053.2378
593,,,10417.119
594,,,9346.251
595,,,530.0345
596,,,3400.4143
597,,,21364.646
598,,,10972.409
599,,,3731.087
600,,,6890.205
601,,,7997.086
602,,,9938.398
603,,,31668.809
604,,,10600.544
605,,,1374.4219
606,,,4900.2886
607,,,7587.463
608,,,9271.696
609,,,590.3021
610,,,7824.9126
611,,,12966.982
612,,,9989.44
613,,,1046.6184
614,,,598.7535
615,,,392.79486
616,,,2596.8035
617,,,1857.9404
618,,,2126.0662
619,,,262.62766
620,,,2575.0046
621,,,10684.509
622,,,4948.9727
623,,,17412.621
624,,,795.7801
625,,,567.1079
626,,,2582.5256
627,,,6898.583
628,,,4433.445
629,,,7539.4106
630,,,1647.3174
631,,,13493.435
632,,,1687.0974
633,,,4823.487
634,,,2165.5586
635,,,4982.56
636,,,19049.994
637,,,17011.75
638,,,1402.7051
639,,,1622.6837
640,,,1052.916
641,,,2775.013
642,,,977.5419
643,,,6941.6377
644,,,22873.781
645,,,2358.9282
646,,,6872.405
647,,,9925.695
648,,,98.436646
649,,,6507.8936
650,,,4952.5474
651,,,4829.932
652,,,527.40985
653,,,5803.1885
654,,,2673.6797
655,,,14170.708
656,,,1672.5626
657,,,4349.6865
658,,,7222.56
659,,,2927.9602
660,,,6716.2505
661,,,9153.446
662,,,1994.2432
663,,,1361.2145
664,,,1852.2451
665,,,5684.502
666,,,2029.0924
667,,,12465.787
668,,,19322.305
669,,,1643.1343
670,,,8729.1455
671,,,1207.0902
672,,,865.7061
673,,,13634.195
674,,,5507.2764
675,,,5996.4805
676,,,5137.7407
677,,,9224.014
678,,,2312.6587
679,,,1935.6956
680,,,6429.2354
681,,,2958.3103
682,,,2929.7458
683,,,47.407055
684,,,347.16562
685,,,2178.5017
686,,,3004.3352
687,,,3142.095
688,,,752.9778
689,,,10839.395
690,,,1879.8683
691,,,7353.8994
692,,,3506.0647
693,,,6931.6733
694,,,136.4428
695,,,345.9257
696,,,6886.0264
697,,,3916.4688
698,,,29379.736
699,,,660.8027
700,,,1754.1687
701,,,6885.6914
702,,,807.29895
703,,,7856.659
704,,,704.64386
705,,,1229.5392
706,,,3824.7537
707,,,2526.603
708,,,785.70917
709,,,1959.752
710,,,640.53876
711,,,5927.2183
712,,,11706.018
713,,,11058.507
714,,,1076.6698
715,,,31648.219
716,,,1458.9043
717,,,1208.8687
718,,,5030.8853
719,,,3559.1804
720,,,2699.393
721,,,1825.5641
722,,,2345.8416
723,,,4140.3154
724,,,1007.6951
725,,,1430.958
726,,,301.4862
727,,,172.95477
728,,,3492.8318
729,,,3750.3025
730,,,1255.0886
731,,,5061.904
732,,,890.50415
733,,,6567.677
734,,,2117.6018
735,,,1099.0757
736,,,15511.533
737,,,7850.5767
738,,,1957.9894
739,,,457.91336
740,,,6951.444
741,,,2483.3804
742,,,6886.8477
743,,,8193.113
744,,,2184.448
745,,,3648.1082
746,,,1297.6942
747,,,1202.5071
748,,,43870.875
749,,,774.363
750,,,13707.026
751,,,6351.061
752,,,3117.3289
753,,,3982.7012
754,,,2427.981
755,,,2993.7007
756,,,4681.501
757,,,3173.8115
758,,,2339.5027
759,,,947.37787
760,,,16510.447
761,,,3469.516
762,,,2620.0798
763,,,2689.4604
764,,,799.2801
765,,,13553.733
766,,,781.47485
767,,,1158.1263
768,,,673.7182
769,,,15043.744
770,,,326.41055
771,,,4128.9917
772,,,3766.6768
773,,,5145.0967
774,,,13603.386
775,,,2990.9631
776,,,2709.719
777,,,3872.5352
778,,,1710.4553
779,,,4070.48
780,,,805.5233
781,,,4945.8813
782,,,665.96436
783,,,39160.035
784,,,1307.7876
785,,,1674.4022
786,,,4922.8657
787,,,3622.284
788,,,9363.828
789,,,484.41827
790,,,2826.9775
791,,,4130.4497
792,,,3369.753
793,,,4121.087
794,,,22767.635
795,,,3667.1519
796,,,151.89987
797,,,3366.299
798,,,5593.587
799,,,21489.076
800,,,2049.2346
801,,,324.86673
802,,,206.26274
803,,,2340.0542
804,,,4019.3672
805,,,6705.363
806,,,5595.3745
807,,,462.33713
808,,,2938.3362
809,,,2625.7314
810,,,2999.2463
811,,,769.7177
812,,,4286.0645
813,,,21898.89
814,,,1100.3259
815,,,1218.8741
816,,,11114.548
817,,,1006.1476
818,,,6394.833
819,,,5716.2993
820,,,833.4902
821,,,4084.1902
822,,,6432.0137
823,,,2875.1604
824,,,607.659
825,,,12465.383
826,,,755.3839
827,,,2160.053
828,,,10877.869
829,,,11883.552
830,,,7909.871
831,,,4215.038
832,,,6616.1655
833,,,991.3084
834,,,1393.9767
835,,,1291.9626
836,,,1862.6656
837,,,3611.905
838,,,1416.1228
839,,,5919.5176
840,,,3934.3413
841,,,8468.919
842,,,3102.0215
843,,,3387.5928
844,,,8100.886
845,,,509.5874
846,,,5851.2505
847,,,2772.6882
848,,,961.3852
849,,,13904.518
850,,,1257.7754
851,,,8799.018
852,,,1683.3313
853,,,6537.2026
854,,,13141.497
855,,,3494.6816
856,,,3464.978
857,,,1189.0662
858,,,18487.629
859,,,2112.972
860,,,7450.5317
861,,,1595.5698
862,,,12616.856
863,,,2795.9758
864,,,931.46
865,,,28816.188
866,,,7455.9346
867,,,5167.1006
868,,,2483.9834
869,,,637.518
870,,,13325.8955
871,,,1809.6791
872,,,9360.382
873,,,810.4374
874,,,1021.6503
875,,,3317.1335
876,,,5396.8276
877,,,3241.846
878,,,8825.948
879,,,519.8019
880,,,260.1226
881,,,398.43262
882,,,9390.633
883,,,7104.353
884,,,1551.3411
